Label,Name,Index,X,Y
IMG_4763_roi-1,MB,0,2000,2064
IMG_4763_roi-1,MB,0,1984,1730
IMG_4763_roi-1,MB,0,1998,1508
IMG_4763_roi-1,MB,0,2026,1296
IMG_4763_roi-1,MB,0,2006,1150
IMG_4763_roi-1,MB,0,1998,1026
IMG_4763_roi-1,MB,0,1984,936
IMG_4763_roi-1,MB,0,1966,870
IMG_4763_roi-1,MB,0,1984,714
IMG_4763_roi-2,SB1,1,1994,1802
IMG_4763_roi-2,SB1,1,1940,1764
IMG_4763_roi-2,SB1,1,1852,1572
IMG_4763_roi-2,SB1,1,1798,1330
IMG_4763_roi-2,SB1,1,1768,1184
IMG_4763_roi-2,SB1,1,1698,1074
IMG_4763_roi-2,SB1,1,1692,942
IMG_4763_roi-3,SB2,2,1990,1692
IMG_4763_roi-3,SB2,2,1950,1620
IMG_4763_roi-3,SB2,2,1972,1386
IMG_4763_roi-3,SB2,2,1974,1234
IMG_4763_roi-3,SB2,2,1952,1076
IMG_4763_roi-3,SB2,2,1978,1026
IMG_4763_roi-3,SB2,2,1976,962
IMG_4763_roi-4,SB3,3,1994,1800
IMG_4763_roi-4,SB3,3,2052,1648
IMG_4763_roi-4,SB3,3,2038,1436
IMG_4763_roi-4,SB3,3,2070,1338
IMG_4763_roi-4,SB3,3,2102,1314
IMG_4763_roi-4,SB3,3,2106,1220
IMG_4763_roi-4,SB3,3,2112,1136
IMG_4763_roi-4,SB3,3,2182,1072
IMG_4763_roi-5,SB4,4,1986,1632
IMG_4763_roi-5,SB4,4,2060,1512
IMG_4763_roi-5,SB4,4,2116,1442
IMG_4763_roi-5,SB4,4,2142,1336
IMG_4763_roi-5,SB4,4,2144,1258
IMG_4763_roi-5,SB4,4,2114,1250
IMG_4763_roi-6,SB4,6,1990,1744
IMG_4763_roi-6,SB4,6,2084,1662
IMG_4763_roi-6,SB4,6,2146,1546
IMG_4763_roi-6,SB4,6,2198,1296
IMG_4763_roi-6,SB4,6,2196,1068
IMG_4763_roi-6,SB4,6,2206,1032
IMG_4763_roi-7,SB5,5,1994,1882
IMG_4763_roi-7,SB5,5,1890,1746
IMG_4763_roi-7,SB5,5,1876,1554
IMG_4763_roi-7,SB5,5,1838,1316
IMG_4763_roi-7,SB5,5,1856,1230
IMG_4763_roi-7,SB5,5,1800,1202
